ticker,period,operating_margin,price,var_price
BXP,2014-12-31,33,128.690002,0.2821560043193383
BXP,2015-12-31,34,127.540001,-0.008936210910929887
C,2012-12-31,8,39.560001,NA
C,2013-12-31,28,52.110001,0.31723962797675354
C,2014-12-31,20,54.110001,0.038380348524652774
C,2015-12-31,35,51.75,-0.043614876296158234
CAG,2013-05-26,10,NA,NA
CAG,2014-05-25,10,NA,NA
CAG,2015-05-31,11,NA,NA
CAG,2016-05-29,8,NA,NA
CAH,2013-06-30,1,NA,NA
CAH,2014-06-30,2,68.559998,NA
CAH,2015-06-30,2,83.650002,0.2200992479608883
CAH,2016-06-30,2,78.010002,-0.06742378798747672
CAT,2013-12-31,10,90.809998,NA
CAT,2014-12-31,6,91.529999,0.007928653406643837
CAT,2015-12-31,8,67.959999,-0.2575112013275561
CAT,2016-12-31,1,NA,NA
CB,2012-12-31,17,79.800003,NA
CB,2013-12-31,22,103.529999,0.29736835974805653
CB,2014-12-31,18,114.879997,0.10963004066096826
CB,2015-12-31,17,116.849998,0.01714833784335834
CBG,2012-12-31,9,19.9,NA
CBG,2013-12-31,9,26.299999,0.3216079899497488
CBG,2014-12-31,9,34.25,0.3022814183376965
CBG,2015-12-31,8,34.580002,0.009635094890511064
CCI,2012-12-31,34,72.160004,NA
CCI,2013-12-31,31,73.43,0.017599721862543216
CCI,2014-12-31,27,78.699997,0.0717689908756638
CCI,2015-12-31,26,86.449997,0.09847522611722592
CCL,2013-11-30,9,NA,NA
CCL,2014-11-30,11,NA,NA
CCL,2015-11-30,16,50.529999,NA
CCL,2016-11-30,19,51.41,0.017415416928862504
CELG,2013-12-31,28,84.4850005,NA
CELG,2014-12-31,33,111.860001,0.32402201974301925
CELG,2015-12-31,24,119.760002,0.07062400258694801
CELG,2016-12-31,28,NA,NA
CERN,2013-12-28,20,NA,NA
CERN,2015-01-03,22,NA,NA
CERN,2016-01-02,18,NA,NA
CERN,2016-12-31,19,NA,NA
CF,2012-12-31,48,40.632,NA
CF,2013-12-31,44,46.6080018,0.1470762404016539
CF,2014-12-31,50,54.5079994,0.1694987404501862
CF,2015-12-31,28,40.810001,-0.25130253450468776
CFG,2012-12-31,0,NA,NA
CFG,2013-12-31,0,NA,NA
CFG,2014-12-31,0,NA,NA
CFG,2015-12-31,0,26.190001,NA
CHD,2012-12-31,19,26.785,NA
CHD,2013-12-31,19,33.1399995,0.23725964159044244
CHD,2014-12-31,19,39.404999,0.18904645728796687
CHD,2015-12-31,20,42.4399985,0.0770206719203319
CHK,2012-12-31,14,15.7237464522,NA
CHK,2013-12-31,11,25.6764437086,0.6329723826733076
CHK,2014-12-31,15,19.57,-0.23782279890087443
CHK,2015-12-31,148,4.5,-0.770056208482371
CHRW,2012-12-31,6,63.220001,NA
CHRW,2013-12-31,5,58.349998,-0.07703263085997114
CHRW,2014-12-31,6,74.889999,0.2834618948915817
CHRW,2015-12-31,6,62.02,-0.17185203861466203
CHTR,2013-12-31,11,136.759995,NA
CHTR,2014-12-31,11,166.619995,0.21833870350755702
CHTR,2015-12-31,11,183.100006,0.09890776314091254
CHTR,2016-12-31,12,NA,NA
CI,2012-12-31,9,53.459999,NA
CI,2013-12-31,7,87.480003,0.6363637230894821
CI,2014-12-31,9,102.910004,0.1763831786791321
CI,2015-12-31,9,146.330002,0.4219220319921473
CINF,2012-12-31,14,39.16,NA
CINF,2013-12-31,16,52.369999,0.33733398876404497
CINF,2014-12-31,15,51.830002,-0.010311189809264598
CINF,2015-12-31,17,59.169998,0.14161674159302562
CL,2012-12-31,23,52.2700005,NA
CL,2013-12-31,20,65.209999,0.2475607112343532
CL,2014-12-31,21,69.190002,0.06103363074733381
CL,2015-12-31,17,66.620003,-0.03714408044098638
CLX,2013-06-30,18,NA,NA
CLX,2014-06-30,18,91.400002,NA
CLX,2015-06-30,18,104.019997,0.1380743405235374
CLX,2016-06-30,18,138.389999,0.3304172562127643
CMA,2013-12-31,0,47.540001,NA
CMA,2014-12-31,0,46.84,-0.014724463299863877
CMA,2015-12-31,0,41.830002,-0.10695982066609744
CMA,2016-12-31,0,NA,NA
CME,2012-12-31,61,50.669998,NA
CME,2013-12-31,53,78.459999,0.5484508012019262
CME,2014-12-31,55,88.650002,0.12987513548145735
CME,2015-12-31,58,90.599998,0.021996570287725392
CMG,2013-12-31,17,532.780029,NA
CMG,2014-12-31,17,684.51001,0.2847891676510268
CMG,2015-12-31,17,479.850006,-0.2989875984428627
CMG,2016-12-31,1,NA,NA
CMI,2013-12-31,12,140.970001,NA
CMI,2014-12-31,12,144.169998,0.02269984377740042
CMI,2015-12-31,11,88.010002,-0.38954010389873206
CMI,2016-12-31,11,NA,NA
CMS,2013-12-31,17,26.77,NA
CMS,2014-12-31,16,34.75,0.2980948823309675
CMS,2015-12-31,18,36.080002,0.03827343884892098
CMS,2016-12-31,20,NA,NA
CNC,2012-12-31,1,20.5,NA
CNC,2013-12-31,3,29.4750005,0.4378049024390245
CNC,2014-12-31,3,51.924999,0.7616623619734968
CNC,2015-12-31,3,65.809998,0.2674048968205083
CNP,2012-12-31,14,19.25,NA
CNP,2013-12-31,12,23.18,0.2041558441558442
